All|All
Mesomelia|Mesomelia
Mesomelic|Mesomelic limb shortening
Mesomelic|Mesomelic shortening of limbs
Symmetric|Symmetric mesomelic limb shortness
Abnormality|Abnormality of the ankles
Enlargement|Enlargement of the ankles
Ulnar|Ulnar bowing
Bowed|Bowed ulna
Curved|Curved ulna
Short|Short femoral neck
Short|Short femoral necks
Short,|Short, hypoplastic femoral necks
Diaphyseal|Diaphyseal sclerosis
Enlarged|Enlarged joints
Fibular|Fibular hypoplasia
Hypoplastic|Hypoplastic fibula
Short|Short fibula
Short|Short fibulae
Arthropathy|Arthropathy
Humeroradial|Humeroradial synostosis
Humeral|Humeral radial synostosis
Humeral-radial|Humeral-radial synostosis
Radiohumeral|Radiohumeral synostosis of elbow
Synostosis|Synostosis of radius and humerus
Elbow|Elbow dislocation
Dislocations|Dislocations of the elbows
Elbow|Elbow dislocations
Abnormality|Abnormality of the shoulder
Shoulder|Shoulder flexion contracture
Abnormality|Abnormality of the patella
Patellar|Patellar abnormality
Radial|Radial head subluxation
Radial|Radial subluxation
Radial-head|Radial-head subluxation
Ulnar|Ulnar deviation of the wrist
Ulnar|Ulnar deviation of wrists
Enlarged|Enlarged metaphyses
Epiphyseal|Epiphyseal deformities of tubular bones
Tetraamelia|Tetraamelia
Tetra-amelia|Tetra-amelia
Abnormality|Abnormality of the radioulnar joints
Abnormality|Abnormality of the humerus
Abnormality|Abnormality of the humeri
Patellar|Patellar hypoplasia
Hypoplastic|Hypoplastic patellae
Small|Small patella
Small|Small patellae
Limited|Limited knee extension
Madelung|Madelung deformity
Madelung|Madelung wrist deformity
Madelung-like|Madelung-like forearm deformities
Elbow|Elbow ankylosis
Flattened|Flattened epiphyses
Hypercalcemia|Hypercalcemia
Hypercalcaemia|Hypercalcaemia
Hypoalbuminemia|Hypoalbuminemia
Hypoalbuminaemia|Hypoalbuminaemia
Hyperglycemia|Hyperglycemia
Hypoproteinemia|Hypoproteinemia
Glycosuria|Glycosuria
Glucosuria|Glucosuria
Hyperlipidemia|Hyperlipidemia
Defective|Defective DNA repair after ultraviolet radiation damage
Hydroxyprolinuria|Hydroxyprolinuria
Elevated|Elevated urinary hydroxyproline
Increased|Increased urinary potassium
Dislocated|Dislocated radial head
Dislocation|Dislocation of radial head
Dislocation|Dislocation of the radial head
Radial|Radial dislocation
Radial|Radial head dislocation
Radial|Radial head dislocation/subluxation
Fractures|Fractures of the long bones
Increased|Increased long bone fracture rate
Disproportionately|Disproportionately long fibulae
Disproportionately|Disproportionately long fibula
Acromesomelia|Acromesomelia
Premature|Premature osteoarthritis
Premature|Premature arthritis
Hamstring|Hamstring contractures
Hypoplasia|Hypoplasia of the capital femoral epiphysis
Small|Small capital femoral epiphyses
Small|Small femoral capital epiphyses
Small|Small proximal femoral epiphyses
Trophic|Trophic limb changes
Limited|Limited hip extension
Restricted|Restricted hip extension
Septic|Septic arthritis
Short|Short femur
Femoral|Femoral hypoplasia
Hypoplasia|Hypoplasia of the femora
Short|Short femurs
Fibular|Fibular overgrowth
Slender|Slender long bone
Gracile|Gracile long bones
Long|Long bones slender
Slender,|Slender, gracile long tubular bones
Thin|Thin long bones
Thin,|Thin, gracile long bones
Increased|Increased carrying angle
Abnormal|Abnormal cortical bone morphology
Abnormal|Abnormal compact bone morphology
Abnormality|Abnormality of cortical bone
Protuberances|Protuberances at ends of long bones
Subperiosteal|Subperiosteal erosions due to secondary hyperparathyroidism
Abnormality|Abnormality of cholesterol metabolism
Hyperglycinuria|Hyperglycinuria
Glycinuria|Glycinuria
Hyperphosphaturia|Hyperphosphaturia
Phosphaturia|Phosphaturia
Abnormality|Abnormality of urine homeostasis
Abnormality|Abnormality of ion homeostasis
Electrolyte|Electrolyte disorders
Abnormality|Abnormality of serum amino acid levels
Hypochloremia|Hypochloremia
Abnormal|Abnormal cardiological findings
Abnormal|Abnormal EKG
Abnormal|Abnormal echocardiogram
Abnormality|Abnormality of circulating hormone level
Increased|Increased circulating cortisol level
Abnormality|Abnormality of lipid metabolism
Limb|Limb joint contracture
Limb|Limb contractures
Hypercholesterolemia|Hypercholesterolemia
Elevated|Elevated serum cholesterol
Elevated|Elevated total cholesterol
Increased|Increased total cholesterol
Reduced|Reduced factor VIII activity
Low-molecular-weight|Low-molecular-weight proteinuria
Hypocalciuria|Hypocalciuria
Lactic|Lactic acidosis
Hyperlacticacidemia|Hyperlacticacidemia
Lactic|Lactic acidemia
Lacticacidemia|Lacticacidemia
Lacticacidosis|Lacticacidosis
Abnormal|Abnormal peripheral myelination
Cystinuria|Cystinuria
Abnormality|Abnormality of the spinocerebellar tracts
Abnormality|Abnormality of peripheral nerve conduction
Sensory|Sensory and motor nerve conduction abnormalities
Prolinuria|Prolinuria
Increased|Increased blood urea nitrogen (BUN)
Increased|Increased blood urea nitrogen
Panhypogammaglobulinemia|Panhypogammaglobulinemia
Panypogammaglobulinemia|Panypogammaglobulinemia
T-wave|T-wave inversion in the right precordial leads
Hyperbetalipoproteinemia|Hyperbetalipoproteinemia
Increased|Increased beta-lipoproteins
Increased|Increased circulating low-density lipoprotein cholesterol
Increased|Increased LDL cholesterol
Excessive|Excessive purine production
Increased|Increased serum serotonin
Decreased|Decreased adenosylcobalamin
Decreased|Decreased adenosylcobalamin (ADOCBL)
Hypocholesterolemia|Hypocholesterolemia
Elevated|Elevated serum acid phosphatase
Acid|Acid phosphatase elevated
Hyperuricosuria|Hyperuricosuria
Glutaric|Glutaric aciduria
Glutaricaciduria|Glutaricaciduria
Increased|Increased serum 1,25-dihydroxyvitamin D3
Cystathioninuria|Cystathioninuria
Increased|Increased circulating ACTH level
Increased|Increased plasma acth
Elevated|Elevated alkaline phosphatase
Greatly|Greatly elevated alkaline phosphatase
High|High serum alkaline phosphatase
Hyperphosphatasia|Hyperphosphatasia
Increased|Increased alkaline phosphatase
Increased|Increased serum alkaline phosphatase
Progressive|Progressive axonal neuropathy with demyelinization on electroneurography
Hyposthenuria|Hyposthenuria
Hyperoxaluria|Hyperoxaluria
Abnormal|Abnormal isoelectric focusing of serum transferrin
Abnormal|Abnormal isoelectric focusing of serum transferring
Abnormal|Abnormal transferrin isoelectric focusing
4-Hydroxyphenylpyruvic|4-Hydroxyphenylpyruvic aciduria
Hydroxyphenylpyruvic|Hydroxyphenylpyruvic aciduria
Fasting|Fasting hypoglycemia
Elevated|Elevated urinary delta-aminolevulinic acid
Hypothalamic|Hypothalamic gonadotropin-releasing hormone (GNRH) deficiency
Elevated|Elevated circulating parathyroid hormone (PTH) level
Elevated|Elevated serum parathyroid hormone
Elevated|Elevated serum parathyroid hormone level
Elevated|Elevated serum pth
Increased|Increased serum parathyroid hormone
Increased|Increased urinary taurine
Carnosinuria|Carnosinuria
Dibasicaminoaciduria|Dibasicaminoaciduria
Abnormality|Abnormality of the acetabulum
Acetabular|Acetabular abnormality
Abnormality|Abnormality of the pubic bones
Hypoplastic|Hypoplastic pubic bones
Hypoplastic|Hypoplastic pubic bone
Hypoplastic|Hypoplastic pubis
Abnormality|Abnormality of the ischium
Abnormality|Abnormality of the ischial bones
Hypoplastic|Hypoplastic ischia
Hypoplastic|Hypoplastic ischial bones
Hypoplastic|Hypoplastic ischii
Hypoplastic|Hypoplastic ischium
Squared|Squared iliac bones
Square|Square iliac bones
Squaring|Squaring of iliac bones
Protrusio|Protrusio acetabuli
Protrusio|Protrusio acetabulae
Flat|Flat acetabular roof
Flat|Flat acetabular roofs
Flattened|Flattened acetabular roof
Horizontal|Horizontal acetabulae
Horizontal|Horizontal acetabular roof
Horizontal|Horizontal acetabular roofs
Shallow|Shallow acetabular fossae
Shallow|Shallow acetabula
Shallow|Shallow acetabulae
Shallow|Shallow acetabular fossa
Shallow|Shallow acetabulum
Wide|Wide pubic symphysis
Decreased|Decreased hip abduction
Limited|Limited hip abduction
Small|Small sacroiliac notches
Shortened|Shortened sacroiliac notches
Inverted|Inverted nipples
Invaginated|Invaginated nipples
Breast|Breast hypoplasia
Underdeveloped|Underdeveloped breasts
Long|Long nose
Notched|Notched nasal alae
Allergic|Allergic rhinitis
Short|Short nasal bridge
Short|Short nose
Hypoplastic|Hypoplastic nose
Nasal|Nasal hypoplasia
Myopathy|Myopathy
Myopathic|Myopathic changes
Decreased|Decreased muscle mass
Underdeveloped|Underdeveloped muscles
Ragged-red|Ragged-red muscle fibers
Ragged-red|Ragged-red fibers
Rhabdomyolysis|Rhabdomyolysis
Amyotrophy|Amyotrophy
Amyotrophy|Amyotrophy involving the extremities
Muscle|Muscle atrophy
Muscle|Muscle atrophy, neurogenic
Muscle|Muscle hypotrophy
Muscle|Muscle wasting
Muscular|Muscular atrophy
Neurogenic|Neurogenic muscle atrophy
Neurogenic|Neurogenic muscle atrophy, especially in the lower limbs
Neurogenic|Neurogenic muscular atrophy
Skeletal|Skeletal muscle atrophy
Negative|Negative nitroblue tetrazolium (NBT) reduction test
Intracellular|Intracellular accumulation of autofluorescent lipopigment storage material
Curvilinear|Curvilinear intracellular accumulation of autofluorescent lipopigment storage material
'curvilinear|'curvilinear profiles' ultrastructurally
'Curvilinear|'Curvilinear profiles' ultrastructurally in cells
Curvilinear|Curvilinear profiles ultrastructurally
Intracellular|Intracellular curvilinear profiles on ultrastructural analysis
Decreased|Decreased activity of NADPH oxidase
Arterial|Arterial calcification
Fingerprint|Fingerprint intracellular accumulation of autofluorescent lipopigment storage material
'Fingerprint|'Fingerprint profiles' ultrastructurally in cells
Fingerprint|Fingerprint profiles ultrastructurally
Decreased|Decreased pyruvate carboxylase activity
Decreased|Decreased methylmalonyl-CoA mutase activity
Decreased|Decreased methylmalonyl-CoA mutase (mut, 609058) activity
Increased|Increased IgE level
Elevated|Elevated immunoglobulin E
Elevated|Elevated serum IgE
High|High immunoglobulin E
Deficient|Deficient excision of UV-induced pyrimidine dimers in DNA
Prolonged|Prolonged G2 phase of cell cycle
Dicarboxylic|Dicarboxylic aciduria
Generalized|Generalized amyloid deposition
Hyperglutaminemia|Hyperglutaminemia
High|High plasma glutamine
Oroticaciduria|Oroticaciduria
Ethylmalonic|Ethylmalonic aciduria
Abnormality|Abnormality of chromosome stability
Chromosome|Chromosome breakage
High|High frequency of chromosome breaks in lymphocytes
Increased|Increased chromosomal breakage
Increased|Increased chromosomal breakage rate
Increased|Increased chromosome breakage
Multiple|Multiple chromosomal breaks
Tendency|Tendency to chromosomal breakage
Chromosomal|Chromosomal breakage induced by crosslinking agents
Chromosomal|Chromosomal breakage induced by diepoxybutane
Chromosomal|Chromosomal breakage induced by mitomycin C
Decreased|Decreased methylcobalamin
Methylcobalamin|Methylcobalamin deficiency
Increased|Increased cellular sensitivity to UV light
Reduced|Reduced factor V activity
Rectilinear|Rectilinear intracellular accumulation of autofluorescent lipopigment storage material
Rectilinear|Rectilinear profiles ultrastructurally
Hypernatremia|Hypernatremia
Hypertyrosinemia|Hypertyrosinemia
Tyrosinemia|Tyrosinemia
Mitochondrial|Mitochondrial malic enzyme reduced
DECREASED|DECREASED MITOCHONDRIAL MALIC ENZYME
Hypoalphalipoproteinemia|Hypoalphalipoproteinemia
Decreased|Decreased circulating high-density lipoprotein cholesterol
Decreased|Decreased HDL cholesterol
Low|Low HDL-cholesterol
Decreased|Decreased plasma carnitine
Hypermethioninemia|Hypermethioninemia
Methioninemia|Methioninemia
Elevated|Elevated serum creatine phosphokinase
Elevated|Elevated blood creatine phosphokinase
Elevated|Elevated circulating creatine phosphokinase
Elevated|Elevated creatine kinase
Elevated|Elevated serum CPK
Elevated|Elevated serum creatine kinase
High|High serum creatine kinase
Increased|Increased creatine kinase
Increased|Increased creatine phosphokinase
Increased|Increased creatine phosphokinase (CPK)
Increased|Increased serum CK
Increased|Increased serum creatine kinase
Increased|Increased serum creatine phosphokinase
Increased|Increased IgG level
Increased|Increased levels of IgG
Hyperpepsinogenemia|Hyperpepsinogenemia I
Phosphoethanolaminuria|Phosphoethanolaminuria
Increased|Increased phosphoribosylpyrophosphate (PRPP) synthetase
Genital|Genital hypoplasia
Hypogenitalism|Hypogenitalism
Small|Small genitalia
Penile|Penile hypospadias
Prominent|Prominent scrotal raphe
Prominent|Prominent perineal raphe
Overgrowth|Overgrowth of external genitalia
Gonadal|Gonadal tissue inappropriate for external genitalia or chromosomal sex
Genital|Genital ulcers
Aplasia|Aplasia of the vagina
Absent|Absent vagina
Congenital|Congenital absence of the vagina
Male|Male infertility
Anteriorly|Anteriorly displaced genitalia
Abnormality|Abnormality of DNA repair
Abnormality|Abnormality of the coagulation cascade
Coagulopathy|Coagulopathy
Glyoxalase|Glyoxalase deficiency
Elevated|Elevated serum creatinine
Elevated|Elevated creatinine
Increased|Increased creatinine
Increased|Increased serum creatinine
Hydroxyprolinemia|Hydroxyprolinemia
Increased|Increased IgA level
Elevated|Elevated IgA
Elevated|Elevated serum IgA
Increased|Increased levels of IgA
Increased|Increased serum IgA
Smooth|Smooth muscle antibody positivity
Smooth|Smooth muscle antibody positive
Deficiency|Deficiency of N-acetylglucosamine-1-phosphotransferase
Neonatal|Neonatal hyperbilirubinemia
Hyperbilirubinemia,|Hyperbilirubinemia, neonatal
Reduced|Reduced orotidine 5-prime phosphate decarboxylase activity
Argininuria|Argininuria
Sudanophilic|Sudanophilic leukodystrophy
Abdominal|Abdominal distention
Abdominal|Abdominal distension
Abdominal|Abdominal swelling
Distended|Distended abdomen
Visceromegaly|Visceromegaly
Abnormality|Abnormality of the hip bone
Abnormality|Abnormality of the hips
Hip|Hip contracture
Flexion|Flexion contracture of hips
Flexion|Flexion contractures of hips
Hip|Hip contractures
Hip|Hip flexion contractures
Hypoplastic|Hypoplastic acetabulae
Acetabular|Acetabular hypoplasia
Hypoplastic|Hypoplastic acetabula
Narrow|Narrow pelvis
Pelvic|Pelvic exostoses
Constricted|Constricted iliac wings
Square|Square pelvis
Coxa|Coxa magna
Increased|Increased serum ferritin
Elevated|Elevated serum ferritin
Increased|Increased ferritin
Increased|Increased serum ferritin level
Low|Low alkaline phosphatase
Decreased|Decreased serum alkaline phosphatase
Cystathioninemia|Cystathioninemia
Abnormality|Abnormality of mitochondrial metabolism
Mitochondrial|Mitochondrial propionyl-CoA carboxylase (PCC) defect
Decreased|Decreased serum leptin
Impaired|Impaired FSH and LH secretion
Hyperthreoninuria|Hyperthreoninuria
Hyperlysinuria|Hyperlysinuria
Lysinuria|Lysinuria
Spina|Spina bifida occulta
Ovoid|Ovoid vertebral bodies
Oval|Oval vertebral bodies
Ovoid|Ovoid vertebrae
Ovoid-shaped|Ovoid-shaped vertebral bodies
Irregular|Irregular vertebral endplates
end-plate|end-plate irregularities
endplate|endplate irregularities
endplate|endplate irregularity
Irregular|Irregular end plates
Irregular|Irregular endplates
irregular|irregular vertebral plates
vertebral|vertebral endplate irregularity
Spondylolisthesis|Spondylolisthesis
Spondylolithesis|Spondylolithesis
Spondylolysis|Spondylolysis
Block|Block vertebrae
Spinal|Spinal rigidity
Rigid|Rigid spine
Hyperlordosis|Hyperlordosis
Lordosis|Lordosis
Cervical|Cervical subluxation
Ovoid|Ovoid thoracolumbar vertebrae
Ovoid|Ovoid thoracic and lumbar vertebrae
Abnormality|Abnormality of the odontoid process
Abnormal|Abnormal odontoid peg
Abnormal|Abnormal odontoid process
Hypoplasia|Hypoplasia of the odontoid process
Hypoplastic|Hypoplastic odontoid process
Odontoid|Odontoid hypoplasia
Small|Small odontoid process
Abnormal|Abnormal form of the vertebral bodies
Abnormally-shaped|Abnormally-shaped vertebrae
Round|Round vertebral bodies
Butterfly|Butterfly vertebrae
Schmetterlingswirbel|Schmetterlingswirbel
Cervical|Cervical spine hypermobility
Abnormality|Abnormality of the cervical spine
Abnormal|Abnormal cervical spine
Abnormality|Abnormality of the cervical vertebrae
Cervical|Cervical spine abnormalities
Cervical|Cervical vertebral abnormalities
C1-C2|C1-C2 subluxation
Biconcave|Biconcave flattened vertebrae
Progressive|Progressive muscle weakness
Muscle|Muscle weakness, progressive
Progressive|Progressive muscular weakness
Generalized|Generalized muscle weakness
Generalized|Generalized weakness
Muscle|Muscle weakness, diffuse
Muscle|Muscle weakness, generalized
Limb-girdle|Limb-girdle muscle weakness
